biden_approval,vote2016,vote2020,gss_trust,gss_bible,gss_spanking,social_none,social_fb,social_twitter,social_instagram,social_tiktok,social_pinterest,gender,race,education,income,urban_rural,state,age,region,voted2016,voted2020,race_white,college,noncollege_white
Somewhat disapprove,Did not vote,Donald Trump,Can't be too careful,Inspired word,Agree,False,True,True,True,True,True,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Arkansas,18-24,South,False,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Word of God,Somewhat agree,False,True,True,True,False,False,Male,Black or African American,Completed graduate school,"Between $75,000 and $99,999",Urban,New York,25-44,Northeast,True,True,False,True,False
Approve,Did not vote,Did not vote,Can't be too careful,Book of fables,Disagree,False,False,True,True,False,True,Female,Hispanic or Latino,"Some college, no degree","Under $15,000",Rural,California,18-24,Pacific,False,False,False,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Somewhat agree,True,False,False,False,False,False,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,Washington,45-64,Pacific,True,True,True,True,False
Neither approve nor disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Agree,False,True,True,True,True,False,Male,White or Caucasian,Graduated from college,"Between $100,000 and $150,000",Urban,New York,25-44,Northeast,True,True,True,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Somewhat agree,False,True,True,True,False,False,Male,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Urban,West Virginia,45-64,South,True,True,True,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Word of God,Agree,False,True,True,True,False,False,Female,Black or African American,"Some college, no degree","Between $15,000 and $49,999",Rural,Virginia,45-64,South,True,True,False,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Agree,False,True,False,False,True,False,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Rural,Vermont,45-64,Northeast,True,True,True,True,False
Somewhat disapprove,Did not vote,Did not vote,Can't be too careful,Book of fables,Agree,False,True,False,False,False,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Urban,Maryland,25-44,Northeast,False,False,True,True,False
Disapprove,Donald Trump,Donald Trump,Can't be too careful,I don’t know,Don't know,False,False,True,False,False,False,Male,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Rural,Maine,25-44,Northeast,True,True,True,False,True
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat agree,False,True,False,True,True,False,Male,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Urban,New York,18-24,Northeast,True,True,False,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,False,False,False,False,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Rural,Michigan,65+,Midwest,True,True,True,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,True,True,True,False,Female,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Urban,Missouri,25-44,South,True,True,True,True,False
Disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Agree,False,True,False,True,False,False,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,California,25-44,Pacific,True,True,True,True,False
Strongly approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Male,Black or African American,"Some college, no degree","Under $15,000",Urban,New York,18-24,Northeast,False,True,False,True,False
Neither approve nor disapprove,Did not vote,Joe Biden,Can trust,Book of fables,Disagree,False,False,False,True,True,False,Female,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Suburban,Washington,25-44,Pacific,False,True,True,True,False
Approve,Did not vote,Joe Biden,Can't be too careful,Inspired word,Disagree,False,True,True,True,False,False,Male,Asian or Asian American,Graduated from college,"Under $15,000",Suburban,California,18-24,Pacific,False,True,False,True,False
Neither approve nor disapprove,Did not vote,Joe Biden,Can trust,Book of fables,Somewhat agree,False,True,True,True,False,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,California,18-24,Pacific,False,True,True,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,False,False,Male,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Urban,Illinois,25-44,Midwest,True,True,True,True,False
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,Word of God,Agree,False,False,False,True,False,False,Male,Asian or Asian American,"Some college, no degree","Under $15,000",Suburban,Alabama,18-24,South,False,False,False,True,False
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,False,True,False,False,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Pennsylvania,45-64,Midwest,True,True,True,True,False
Somewhat approve,Donald Trump,Joe Biden,Can trust,Book of fables,Disagree,False,False,False,True,False,False,Female,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Urban,Texas,25-44,South,True,True,True,True,False
Approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Agree,False,True,False,True,False,False,Male,Asian or Asian American,Graduated from high school,"Under $15,000",Suburban,New Jersey,18-24,Northeast,False,True,False,False,False
Somewhat approve,Did not vote,Joe Biden,Can trust,Book of fables,Disagree,True,False,False,False,False,False,Female,Other,Graduated from college,"Between $15,000 and $49,999",Suburban,Washington,25-44,Pacific,False,True,False,True,False
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Don't know,False,True,False,False,False,False,Male,Hispanic or Latino,Completed graduate school,"Between $100,000 and $150,000",Suburban,California,25-44,Pacific,True,True,False,True,False
Somewhat approve,Donald Trump,Donald Trump,Can trust,Inspired word,Somewhat agree,False,True,True,False,True,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Michigan,25-44,Midwest,True,True,True,True,False
Strongly disapprove,Did not vote,Donald Trump,Can't be too careful,Word of God,Disagree,False,True,False,True,False,False,Male,White or Caucasian,"Some college, no degree","Between $75,000 and $99,999",Suburban,Tennessee,18-24,South,False,True,True,True,False
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Don’t know,Book of fables,Disagree,False,True,True,True,False,False,Male,White or Caucasian,"Some college, no degree","Between $75,000 and $99,999",Urban,Massachusetts,45-64,Northeast,True,True,True,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Inspired word,Somewhat disagree,False,True,False,False,False,False,Male,White or Caucasian,"Some college, no degree","Between $75,000 and $99,999",Suburban,California,25-44,Pacific,True,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Don’t know,Book of fables,Disagree,False,True,True,True,True,True,Female,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Urban,California,25-44,Pacific,True,True,True,True,False
Approve,Hillary Clinton,Did not vote,Can trust,Book of fables,Don't know,False,True,False,True,False,False,Female,White or Caucasian,Completed graduate school,"Between $100,000 and $150,000",Urban,Ohio,25-44,Midwest,True,False,True,True,False
Somewhat disapprove,Did not vote,Joe Biden,Can't be too careful,Inspired word,Somewhat agree,False,True,True,True,False,True,Female,Black or African American,Graduated from college,"Between $15,000 and $49,999",Urban,Texas,25-44,South,False,True,False,True,False
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Don't know,False,True,True,True,False,False,Male,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Suburban,Illinois,25-44,Midwest,True,True,False,True,False
Somewhat disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Disagree,False,True,True,True,True,False,Female,Asian or Asian American,"Some college, no degree","Over $150,000",Suburban,California,18-24,Pacific,True,True,False,True,False
Neither approve nor disapprove,Did not vote,Did not vote,Don’t know,I don’t know,Don't know,False,False,False,True,False,False,Male,White or Caucasian,Less than high school,"Under $15,000",Urban,Florida,25-44,Southeast,False,False,True,False,True
Neither approve nor disapprove,Donald Trump,Joe Biden,Can trust,Inspired word,Disagree,False,True,False,True,False,True,Female,Asian or Asian American,Completed graduate school,"Between $15,000 and $49,999",Suburban,New York,25-44,Northeast,True,True,False,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Agree,False,True,False,False,False,False,Female,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Rural,Wisconsin,45-64,Midwest,True,True,True,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Somewhat agree,False,True,True,True,False,True,Female,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Urban,Florida,25-44,Southeast,True,True,True,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Somewhat disagree,True,False,False,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Urban,Colorado,45-64,Southwest,True,True,True,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,True,False,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Urban,Maine,25-44,Northeast,True,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,False,True,True,False,Female,White or Caucasian,Graduated from high school,"Between $75,000 and $99,999",Suburban,Florida,45-64,Southeast,True,True,True,False,True
Approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,True,False,False,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Suburban,South Carolina,25-44,Southeast,False,True,True,True,False
Strongly disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,True,Female,White or Caucasian,Graduated from college,"Over $150,000",Suburban,California,18-24,Pacific,True,True,True,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Inspired word,Somewhat disagree,False,True,True,True,False,False,Male,White or Caucasian,Completed graduate school,"Over $150,000",Suburban,California,25-44,Pacific,True,True,True,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,False,False,False,Male,Asian or Asian American,"Some college, no degree","Under $15,000",Urban,California,18-24,Pacific,True,True,False,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,False,True,True,False,Female,White or Caucasian,Graduated from college,"Between $75,000 and $99,999",Suburban,Colorado,45-64,Southwest,True,True,True,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,True,False,True,Male,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Suburban,Arizona,65+,Southwest,True,True,True,True,False
Approve,Did not vote,Joe Biden,Can trust,Book of fables,Somewhat disagree,False,True,False,False,False,False,Male,White or Caucasian,Graduated from high school,"Under $15,000",Suburban,Tennessee,25-44,South,False,True,True,False,True
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Somewhat disagree,False,True,True,True,True,True,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Pennsylvania,25-44,Midwest,True,True,True,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Agree,False,True,False,True,False,False,Male,Asian or Asian American,"Some college, no degree","Between $50,000 and $74,999",Suburban,North Carolina,18-24,Southeast,True,True,False,True,False
Somewhat approve,Did not vote,Joe Biden,Can't be too careful,Inspired word,Somewhat disagree,False,False,True,True,False,False,Male,Hispanic or Latino,"Some college, no degree","Under $15,000",Urban,District of Columbia (DC),18-24,Northeast,False,True,False,True,False
Neither approve nor disapprove,Other,Donald Trump,Don’t know,Book of fables,Somewhat disagree,False,False,True,False,False,False,Male,White or Caucasian,Graduated from college,"Under $15,000",Urban,Oregon,45-64,Pacific,True,True,True,True,False
Disapprove,Donald Trump,Donald Trump,Can't be too careful,Book of fables,Agree,False,True,False,False,False,False,Female,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Suburban,Michigan,25-44,Midwest,True,True,True,False,True
Neither approve nor disapprove,Did not vote,Joe Biden,Can trust,Book of fables,Somewhat agree,False,True,True,True,True,False,Female,White or Caucasian,Graduated from college,"Under $15,000",Suburban,Georgia,25-44,Southeast,False,True,True,True,False
Neither approve nor disapprove,Donald Trump,Donald Trump,Can't be too careful,Word of God,Disagree,False,True,True,True,True,True,Female,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Suburban,Georgia,45-64,Southeast,True,True,True,True,False
Somewhat approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Don't know,False,False,False,True,True,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Illinois,25-44,Midwest,False,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Female,Asian or Asian American,Graduated from college,"Under $15,000",Suburban,Texas,25-44,South,True,True,False,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Somewhat agree,False,True,False,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Suburban,California,45-64,Pacific,True,True,True,True,False
Neither approve nor disapprove,Did not vote,Did not vote,Don’t know,Book of fables,Disagree,False,True,False,True,False,False,Male,Asian or Asian American,Completed graduate school,"Between $75,000 and $99,999",Rural,Michigan,25-44,Midwest,False,False,False,True,False
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,False,True,False,False,Female,White or Caucasian,Graduated from college,"Between $75,000 and $99,999",Urban,California,25-44,Pacific,True,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,False,False,Female,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Urban,Massachusetts,25-44,Northeast,True,True,True,True,False
Somewhat approve,Donald Trump,Joe Biden,Can't be too careful,Book of fables,Somewhat agree,False,True,True,True,True,False,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,Massachusetts,25-44,Northeast,True,True,True,True,False
Somewhat disapprove,Other,Did not vote,Can trust,Book of fables,Somewhat agree,True,False,False,False,False,False,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Urban,Tennessee,25-44,South,True,False,True,True,False
Somewhat disapprove,Did not vote,Did not vote,Can't be too careful,Inspired word,Somewhat agree,True,False,False,False,False,False,Male,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Suburban,California,25-44,Pacific,False,False,True,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,False,False,False,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,Pennsylvania,25-44,Midwest,True,True,True,True,False
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,True,False,False,Male,White or Caucasian,Graduated from high school,"Between $75,000 and $99,999",Suburban,Florida,25-44,Southeast,True,True,True,False,True
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,True,True,False,False,Male,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Suburban,Virginia,25-44,South,True,True,True,True,False
Neither approve nor disapprove,Did not vote,Joe Biden,Can't be too careful,Inspired word,Don't know,False,True,False,True,False,False,Male,Asian or Asian American,Graduated from college,"Between $50,000 and $74,999",Suburban,California,25-44,Pacific,False,True,False,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,False,True,False,False,Male,Hispanic or Latino,Graduated from college,"Between $75,000 and $99,999",Suburban,Minnesota,25-44,Midwest,True,True,False,True,False
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,True,True,True,False,Male,Asian or Asian American,"Some college, no degree","Between $50,000 and $74,999",Suburban,Virginia,25-44,South,True,True,False,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Agree,False,False,False,True,False,False,Female,White or Caucasian,Graduated from high school,"Under $15,000",Suburban,North Carolina,45-64,Southeast,True,True,True,False,True
Approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Don't know,True,False,False,False,False,False,Male,White or Caucasian,Graduated from college,"Under $15,000",Rural,Wisconsin,25-44,Midwest,False,True,True,True,False
Somewhat disapprove,Did not vote,Donald Trump,Can't be too careful,Word of God,Somewhat agree,False,False,False,True,True,False,Male,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Urban,Texas,18-24,South,False,True,True,False,True
Disapprove,Did not vote,Other,Can trust,Book of fables,Disagree,False,False,True,True,False,False,Male,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Illinois,45-64,Midwest,False,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,False,False,False,False,Female,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Suburban,Illinois,25-44,Midwest,True,True,True,True,False
Neither approve nor disapprove,Donald Trump,Donald Trump,Can trust,Inspired word,Somewhat agree,False,False,True,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Suburban,New York,65+,Northeast,True,True,True,True,False
Somewhat approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,True,False,False,False,False,False,Male,White or Caucasian,"Some college, no degree","Under $15,000",Urban,California,18-24,Pacific,False,True,True,True,False
Approve,Did not vote,Joe Biden,Can trust,Inspired word,Disagree,False,True,True,True,False,False,Male,Asian or Asian American,Graduated from college,"Between $50,000 and $74,999",Suburban,New Jersey,25-44,Northeast,False,True,False,True,False
Disapprove,Other,Other,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Urban,Massachusetts,25-44,Northeast,True,True,True,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Somewhat disagree,True,False,False,False,False,False,Female,Black or African American,Completed graduate school,"Between $15,000 and $49,999",Rural,North Carolina,45-64,Southeast,True,True,False,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Somewhat disagree,False,False,True,True,False,False,Male,White or Caucasian,Completed graduate school,"Between $100,000 and $150,000",Urban,New Jersey,25-44,Northeast,True,True,True,True,False
Disapprove,Donald Trump,Donald Trump,Can trust,Book of fables,Somewhat disagree,False,False,True,True,False,False,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,New Jersey,25-44,Northeast,True,True,True,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,False,False,False,Female,Asian or Asian American,Completed graduate school,"Between $15,000 and $49,999",Urban,Indiana,25-44,Midwest,True,True,False,True,False
Approve,Hillary Clinton,Joe Biden,Don’t know,Inspired word,Disagree,False,True,True,True,True,True,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,South Carolina,25-44,Southeast,True,True,True,True,False
Approve,Other,Joe Biden,Can't be too careful,Book of fables,Disagree,True,False,False,False,False,False,Female,Other,Graduated from college,"Under $15,000",Suburban,Ohio,25-44,Midwest,True,True,False,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Agree,False,True,True,True,True,True,Female,Asian or Asian American,Completed graduate school,"Between $100,000 and $150,000",Suburban,California,25-44,Pacific,True,True,False,True,False
Approve,Did not vote,Joe Biden,Can trust,Inspired word,Don't know,False,False,False,True,False,True,Male,White or Caucasian,Graduated from college,"Between $100,000 and $150,000",Suburban,Texas,45-64,South,False,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Disagree,False,True,True,False,False,True,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Urban,Alabama,25-44,South,True,True,True,True,False
Neither approve nor disapprove,Other,Joe Biden,Can't be too careful,Book of fables,Don't know,False,False,True,False,False,False,Male,White or Caucasian,Graduated from college,"Between $100,000 and $150,000",Suburban,Washington,25-44,Pacific,True,True,True,True,False
Neither approve nor disapprove,Donald Trump,Donald Trump,Can trust,I don’t know,Agree,False,True,True,True,False,False,Male,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Urban,Pennsylvania,25-44,Midwest,True,True,True,True,False
Somewhat approve,Did not vote,Joe Biden,Can trust,Inspired word,Somewhat agree,False,True,False,False,False,False,Male,White or Caucasian,"Some college, no degree","Between $75,000 and $99,999",Rural,Wisconsin,45-64,Midwest,False,True,True,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,False,False,False,Male,White or Caucasian,Graduated from college,"Between $100,000 and $150,000",Suburban,New Jersey,45-64,Northeast,True,True,True,True,False
Somewhat approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,False,False,False,False,Male,White or Caucasian,Graduated from high school,"Between $50,000 and $74,999",Suburban,Idaho,25-44,Mountains,False,True,True,False,True
Somewhat disapprove,Did not vote,Donald Trump,Can't be too careful,Inspired word,Somewhat disagree,False,False,True,True,True,False,Female,Asian or Asian American,Graduated from high school,"Over $150,000",Suburban,Texas,18-24,South,False,True,False,False,False
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,True,True,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Wisconsin,25-44,Midwest,True,True,True,True,False
Strongly disapprove,Did not vote,Did not vote,Don’t know,Inspired word,Agree,False,True,False,True,False,True,Female,Other,Graduated from high school,"Under $15,000",Suburban,Arkansas,25-44,South,False,False,False,False,False
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,I don’t know,Somewhat agree,False,True,False,True,True,False,Female,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Suburban,Pennsylvania,25-44,Midwest,True,True,True,True,False
Somewhat approve,Did not vote,Did not vote,Can't be too careful,I don’t know,Disagree,False,False,True,True,False,False,Female,Asian or Asian American,Graduated from high school,"Between $50,000 and $74,999",Urban,Texas,18-24,South,False,False,False,False,False
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Word of God,Agree,False,True,False,False,False,True,Female,Black or African American,"Some college, no degree","Between $15,000 and $49,999",Rural,Mississippi,45-64,South,True,True,False,True,False
Disapprove,Other,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,True,False,False,Female,Hispanic or Latino,Graduated from college,"Between $15,000 and $49,999",Urban,New York,18-24,Northeast,True,True,False,True,False
Strongly approve,Did not vote,Did not vote,Can trust,Book of fables,Disagree,False,True,False,True,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Michigan,45-64,Midwest,False,False,True,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Word of God,Disagree,False,True,True,True,False,False,Male,Hispanic or Latino,Graduated from high school,"Between $15,000 and $49,999",Suburban,California,25-44,Pacific,True,True,False,False,False
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,Inspired word,Disagree,True,False,False,False,False,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,North Carolina,25-44,Southeast,False,False,True,True,False
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Somewhat disagree,False,True,True,True,False,False,Female,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Urban,California,25-44,Pacific,True,True,False,True,False
Somewhat approve,Other,Joe Biden,Can trust,Book of fables,Don't know,False,True,False,False,False,False,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,Iowa,25-44,Midwest,True,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Don't know,False,True,True,True,False,True,Female,White or Caucasian,Completed graduate school,"Over $150,000",Suburban,Illinois,45-64,Midwest,True,True,True,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Word of God,Agree,False,True,True,True,True,False,Male,Asian or Asian American,Completed graduate school,"Over $150,000",Suburban,California,45-64,Pacific,True,True,False,True,False
Approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Somewhat agree,False,True,True,False,False,False,Male,White or Caucasian,"Some college, no degree","Under $15,000",Rural,Ohio,18-24,Midwest,False,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,False,False,Female,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Suburban,Florida,25-44,Southeast,True,True,True,False,True
Somewhat disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,False,False,False,Other,White or Caucasian,Graduated from college,"Under $15,000",Urban,Pennsylvania,25-44,Midwest,True,True,True,True,False
Approve,Donald Trump,Joe Biden,Can trust,Book of fables,Disagree,False,False,True,False,True,True,Male,White or Caucasian,Graduated from college,"Between $75,000 and $99,999",Suburban,Massachusetts,45-64,Northeast,True,True,True,True,False
Disapprove,Donald Trump,Donald Trump,Can't be too careful,Word of God,Somewhat agree,False,True,False,True,True,False,Female,White or Caucasian,Less than high school,"Under $15,000",Rural,Texas,25-44,South,True,True,True,False,True
Strongly approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,False,False,False,True,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,North Carolina,65+,Southeast,False,True,True,True,False
Neither approve nor disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Don't know,False,True,True,False,False,True,Male,Black or African American,Completed graduate school,"Over $150,000",Urban,California,25-44,Pacific,True,True,False,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,True,False,True,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,New York,25-44,Northeast,True,True,True,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,True,True,False,Male,Hispanic or Latino,"Some college, no degree","Between $50,000 and $74,999",Suburban,Arizona,25-44,Southwest,True,True,False,True,False
Somewhat approve,Donald Trump,Joe Biden,Can't be too careful,Inspired word,Somewhat agree,False,True,True,True,False,False,Male,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Urban,Texas,25-44,South,True,True,False,True,False
Approve,Other,Joe Biden,Don’t know,Book of fables,Don't know,False,True,True,True,False,False,Male,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Suburban,New Jersey,25-44,Northeast,True,True,True,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,I don’t know,Disagree,False,True,True,True,False,False,Male,Asian or Asian American,Completed graduate school,"Between $75,000 and $99,999",Suburban,California,25-44,Pacific,True,True,False,True,False
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,False,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Ohio,45-64,Midwest,True,True,True,True,False
Somewhat disapprove,Did not vote,Donald Trump,Can trust,Inspired word,Somewhat agree,False,False,True,True,True,False,Male,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Suburban,Arizona,18-24,Southwest,False,True,True,True,False
Approve,Did not vote,Did not vote,Can't be too careful,Book of fables,Disagree,False,True,False,True,True,False,Male,White or Caucasian,"Some college, no degree","Between $75,000 and $99,999",Rural,Minnesota,25-44,Midwest,False,False,True,True,False
Approve,Other,Joe Biden,Can trust,Book of fables,Somewhat disagree,False,True,True,False,False,False,Male,Asian or Asian American,Graduated from college,"Between $100,000 and $150,000",Suburban,Washington,25-44,Pacific,True,True,False,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Inspired word,Somewhat agree,True,False,False,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Suburban,Kentucky,45-64,South,True,True,True,True,False
