biden_approval,vote2016,vote2020,gss_trust,gss_bible,gss_spanking,social_none,social_fb,social_twitter,social_instagram,social_tiktok,social_pinterest,gender,race,education,income,urban_rural,state,age,region,voted2016,voted2020,race_white,college,noncollege_white
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,True,False,Male,White or Caucasian,Completed graduate school,"Over $150,000",Urban,California,25-44,Pacific,True,True,True,True,False
Somewhat disapprove,Hillary Clinton,Other,Can trust,Inspired word,Somewhat agree,False,True,True,True,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Minnesota,25-44,Midwest,True,True,True,True,False
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Disagree,False,False,True,True,False,False,Male,Asian or Asian American,Graduated from college,"Between $75,000 and $99,999",Urban,New Mexico,25-44,Southwest,True,True,False,True,False
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Don't know,False,True,True,True,False,False,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Urban,North Dakota,45-64,Mountains,True,True,True,True,False
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Somewhat agree,False,True,True,False,False,False,Male,White or Caucasian,Graduated from college,"Under $15,000",Suburban,Nevada,65+,Southwest,True,True,True,True,False
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,True,True,True,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Tennessee,25-44,South,True,True,True,True,False
Neither approve nor disapprove,Donald Trump,Donald Trump,Can trust,Book of fables,Disagree,False,False,False,True,False,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Colorado,25-44,Southwest,True,True,True,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,False,False,False,True,Female,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Urban,District of Columbia (DC),25-44,Northeast,True,True,True,True,False
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,False,False,False,False,Female,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Suburban,Iowa,25-44,Midwest,True,True,True,True,False
Somewhat approve,Other,Joe Biden,Can't be too careful,Inspired word,Disagree,False,False,True,True,False,False,Male,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Suburban,Delaware,18-24,Northeast,True,True,True,True,False
