"data","epu","ipca","igp","igpm","divida_publica","cambio","pib","pme","desocupacao","salario_real"
"2017-08",309.67,4853.07,644.383,0.1,50.1,3.15,555578.7,,12.6,1130.16
"2017-09",326.51,4860.83,647.4,0.47,50.75,3.13,528871.2,,12.4,1130.39
"2017-10",190.57,4881.25,648.672,0.2,50.54,3.19,549304.7,,12.2,1126.22
"2017-11",279.87,4894.92,652.073,0.52,50.85,3.26,566209.3,,12,1124.2
"2017-12",215.57,4916.46,657.859,0.89,51.37,3.29,588892.8,,11.8,1121.28
"2018-01",165.01,4930.72,662.826,0.76,51.43,3.21,555644.6,,12.2,1139.01
"2018-02",68.46,4946.5,663.311,0.07,51.59,3.24,528905.5,,12.6,1136.96
"2018-03",101.21,4950.95,667.524,0.64,51.84,3.28,560120.7,,13.1,1136.17
"2018-04",152.25,4961.84,671.327,0.57,51.24,3.41,559359.8,,12.9,1133.78
"2018-05",179.81,4981.69,680.579,1.38,50.68,3.64,547016.5,,12.7,1128.93
"2018-06",152.19,5044.46,693.287,1.87,50.73,3.77,580697.8,,12.4,1113.02
"2018-07",182.88,5061.11,696.8,0.51,51.32,3.83,583054.8,,12.3,1110.24
"2018-08",129.48,5056.56,701.677,0.7,50.35,3.93,582756.7,,12.1,1110.24
"2018-09",130.24,5080.83,712.373,1.52,51.34,4.12,556776.6,,11.9,1106.92
"2018-10",260.17,5103.69,718.684,0.89,52.44,3.76,591983.9,,11.7,1102.51
"2018-11",177.47,5092.97,715.166,-0.49,52.21,3.79,593926.9,,11.6,1105.27
"2018-12",281.91,5100.61,707.441,-1.08,52.77,3.88,603155.2,,11.6,1103.73
"2019-01",127.07,5116.93,707.488,0.01,53.09,3.74,578452.6,,12,1150.49
"2019-02",154.84,5138.93,713.747,0.88,53.06,3.72,567984.5,,12.4,1144.31
"2019-03",158.13,5177.47,722.707,1.26,52.97,3.85,579172.6,,12.7,1135.57
"2019-04",164.67,5206.98,729.346,0.92,52.96,3.9,592916,,12.5,1128.79
"2019-05",184.27,5213.75,732.595,0.45,53.13,4,604607.4,,12.3,1127.1
"2019-06",146.99,5214.27,738.421,0.8,53.68,3.86,598283,,12,1126.99
"2019-07",79.84,5224.18,741.346,0.4,54.12,3.78,627049.7,,11.8,1125.87
"2019-08",161.18,5229.93,736.402,-0.67,53.17,4.02,616157.6,,11.8,1124.52
"2019-09",187.55,5227.84,736.362,-0.01,53.49,4.12,614187.9,,11.8,1125.08
"2019-10",178.2,5233.07,741.333,0.68,53.95,4.09,641340.1,,11.6,1124.63
"2019-11",171.05,5259.76,743.558,0.3,53.63,4.16,634826.2,,11.2,1118.59
"2019-12",183.19,5320.25,759.112,2.09,54.57,4.11,646343.1,,11,1105.11
"2020-01",130.72,5331.42,762.733,0.48,53.12,4.15,617747.2,,11.2,1148.33
"2020-02",232.25,5344.75,762.423,-0.04,52.55,4.34,609810.8,,11.6,1153
"2020-03",368.9,5348.49,771.908,1.24,50.73,4.88,616335.3,,12.2,1150.93
"2020-04",312.15,5331.91,778.101,0.8,51.79,5.33,555387.4,,12.6,1153.58
"2020-05",308.77,5311.65,780.28,0.28,54.07,5.64,561628.4,,12.9,1156.47
"2020-06",115.94,5325.46,792.429,1.56,56.74,5.2,591612,,13.3,1153.01
"2020-07",170.98,5344.63,810.083,2.23,58.76,5.28,629925.1,,13.8,1147.96
"2020-08",263.14,5357.46,832.313,2.74,59.42,5.46,625222.8,,14.4,1143.84
"2020-09",227.69,5391.75,868.442,4.34,60.16,5.4,636587.4,,14.6,1133.97
"2020-10",345.44,5438.12,896.505,3.23,60.13,5.63,659383.4,,14.3,1123.97
"2020-11",265.05,5486.52,925.887,3.28,61.73,5.42,662205.1,,14.1,1113.4
"2020-12",324.88,5560.59,934.758,0.96,62.7,5.15,681911.7,,13.9,1097.37
"2021-01",204.15,5574.49,958.844,2.58,61.16,5.36,651778.2,,14.2,1152.02
"2021-02",201.58,5622.43,983.063,2.53,61.15,5.42,672534.5,,14.4,1142.65
"2021-03",184.38,5674.72,1011.948,2.94,60.41,5.65,723710,,14.7,1132.91
"2021-04",143.51,5692.31,1027.211,1.51,59.74,5.56,696137.3,,14.7,1128.62
"2021-05",115.98,5739.56,1069.289,4.1,59.73,5.29,688826.2,,14.6,1117.89
"2021-06",200.04,5769.98,1075.733,0.6,60.82,5.03,693196.2,,14.1,1111.22
"2021-07",62.59,5825.37,1084.095,0.78,60.32,5.16,720941.7,,13.7,1100
"2021-08",80.26,5876.05,1091.29,0.66,,5.25,,,13.7,
"2021-09",,5876.05,1084.31,,,5.28,,,13.7,
