date;turno;previsto;candidato;hdi_50_lower;hdi_50_higher;hdi_90_lower;hdi_90_higher
2020-09-06;2;0,420;Bolsonaro;0,350;0,370;0,335;0,385
2020-09-13;2;0,420;Bolsonaro;0,350;0,371;0,336;0,386
2020-09-20;2;0,419;Bolsonaro;0,349;0,370;0,335;0,386
2020-09-27;2;0,419;Bolsonaro;0,350;0,370;0,334;0,384
2020-10-04;2;0,419;Bolsonaro;0,350;0,370;0,336;0,386
2020-10-11;2;0,419;Bolsonaro;0,350;0,371;0,336;0,385
2020-10-18;2;0,420;Bolsonaro;0,350;0,370;0,335;0,384
2020-10-25;2;0,419;Bolsonaro;0,351;0,371;0,336;0,385
2020-11-01;2;0,419;Bolsonaro;0,350;0,370;0,335;0,385
2020-11-08;2;0,419;Bolsonaro;0,350;0,370;0,336;0,385
2020-11-15;2;0,419;Bolsonaro;0,349;0,369;0,334;0,384
2020-11-22;2;0,420;Bolsonaro;0,350;0,371;0,336;0,385
2020-11-29;2;0,420;Bolsonaro;0,349;0,370;0,335;0,385
2020-12-06;2;0,420;Bolsonaro;0,350;0,370;0,336;0,386
2020-12-13;2;0,419;Bolsonaro;0,350;0,370;0,336;0,386
2020-12-20;2;0,419;Bolsonaro;0,349;0,370;0,336;0,385
2020-12-27;2;0,419;Bolsonaro;0,349;0,369;0,335;0,385
2021-01-03;2;0,419;Bolsonaro;0,350;0,370;0,334;0,385
2021-01-10;2;0,419;Bolsonaro;0,349;0,369;0,335;0,385
2021-01-17;2;0,420;Bolsonaro;0,349;0,370;0,336;0,386
2021-01-24;2;0,419;Bolsonaro;0,350;0,370;0,335;0,385
2021-01-31;2;0,419;Bolsonaro;0,350;0,370;0,335;0,385
2021-02-07;2;0,420;Bolsonaro;0,349;0,370;0,335;0,384
2021-02-14;2;0,419;Bolsonaro;0,349;0,370;0,335;0,385
2021-02-21;2;0,419;Bolsonaro;0,350;0,370;0,335;0,385
2021-02-28;2;0,419;Bolsonaro;0,350;0,370;0,336;0,385
2021-03-07;2;0,420;Bolsonaro;0,348;0,369;0,335;0,385
2021-03-14;2;0,402;Bolsonaro;0,350;0,363;0,340;0,372
2021-03-21;2;0,389;Bolsonaro;0,356;0,367;0,347;0,375
2021-03-28;2;0,389;Bolsonaro;0,356;0,367;0,347;0,375
2021-04-04;2;0,389;Bolsonaro;0,355;0,366;0,347;0,375
2021-04-11;2;0,389;Bolsonaro;0,356;0,367;0,347;0,375
2021-04-18;2;0,381;Bolsonaro;0,347;0,358;0,340;0,368
2021-04-25;2;0,381;Bolsonaro;0,347;0,359;0,340;0,367
