date,stratum,president,rating,projected,hdi_95_lower,hdi_80_lower,hdi_50_lower,hdi_50_higher,hdi_80_higher,hdi_95_higher,updated
2023-01-13,BR,Lula da Silva,nsnr,9.1,6.68,7.5,8.23,9.84,10.58,11.36,2023-03-10
2023-01-13,BR,Lula da Silva,negativa,28.2,25.65,26.5,27.28,28.9,29.67,30.43,2023-03-10
2023-01-12,BR,Lula da Silva,regular,18.2,15.81,16.6,17.33,18.93,19.64,20.46,2023-03-10
2023-01-12,BR,Lula da Silva,positiva,44.5,41.97,42.75,43.45,45.04,45.74,46.49,2023-03-10
2023-01-12,BR,Lula da Silva,nsnr,9.1,6.79,7.61,8.29,9.84,10.59,11.36,2023-03-10
2023-01-12,BR,Lula da Silva,negativa,28.2,25.73,26.54,27.28,28.85,29.59,30.35,2023-03-10
2023-01-11,BR,Lula da Silva,regular,18.2,15.95,16.66,17.31,18.86,19.53,20.29,2023-03-10
2023-01-11,BR,Lula da Silva,positiva,44.5,42.09,42.84,43.52,45.0,45.67,46.42,2023-03-10
2023-01-11,BR,Lula da Silva,nsnr,9.2,6.98,7.72,8.37,9.87,10.51,11.29,2023-03-10
2023-01-11,BR,Lula da Silva,negativa,28.2,25.83,26.59,27.3,28.81,29.47,30.2,2023-03-10
2023-01-10,BR,Lula da Silva,regular,18.1,15.95,16.66,17.32,18.79,19.43,20.14,2023-03-10
2023-01-10,BR,Lula da Silva,positiva,44.5,42.18,42.9,43.57,45.01,45.68,46.39,2023-03-10
2023-01-10,BR,Lula da Silva,nsnr,9.2,7.03,7.79,8.43,9.86,10.49,11.24,2023-03-10
2023-01-10,BR,Lula da Silva,negativa,28.2,25.87,26.63,27.29,28.76,29.39,30.13,2023-03-10
2023-01-09,BR,Lula da Silva,regular,18.1,15.76,16.52,17.2,18.73,19.44,20.17,2023-03-10
2023-01-09,BR,Lula da Silva,positiva,44.6,42.21,42.92,43.6,45.11,45.8,46.55,2023-03-10
2023-01-09,BR,Lula da Silva,nsnr,9.2,6.94,7.68,8.39,9.86,10.53,11.27,2023-03-10
2023-01-09,BR,Lula da Silva,negativa,28.2,25.87,26.64,27.3,28.81,29.49,30.26,2023-03-10
2023-01-08,BR,Lula da Silva,regular,18.0,15.56,16.38,17.09,18.67,19.38,20.22,2023-03-10
2023-01-08,BR,Lula da Silva,positiva,44.7,42.24,42.94,43.63,45.19,45.9,46.62,2023-03-10
2023-01-08,BR,Lula da Silva,nsnr,9.1,6.8,7.63,8.34,9.86,10.56,11.37,2023-03-10
2023-01-08,BR,Lula da Silva,negativa,28.2,25.84,26.61,27.31,28.87,29.58,30.42,2023-03-10
2023-01-07,BR,Lula da Silva,regular,17.9,15.45,16.24,16.96,18.59,19.32,20.17,2023-03-10
2023-01-07,BR,Lula da Silva,positiva,44.7,42.24,42.98,43.68,45.28,46.01,46.79,2023-03-10
2023-01-07,BR,Lula da Silva,nsnr,9.1,6.74,7.58,8.27,9.85,10.57,11.43,2023-03-10
2023-01-07,BR,Lula da Silva,negativa,28.3,25.81,26.63,27.33,28.93,29.66,30.48,2023-03-10
2023-01-06,BR,Lula da Silva,regular,17.8,15.28,16.06,16.82,18.53,19.3,20.12,2023-03-10
2023-01-06,BR,Lula da Silva,positiva,44.8,42.18,42.97,43.7,45.35,46.09,46.9,2023-03-10
2023-01-06,BR,Lula da Silva,nsnr,9.1,6.67,7.49,8.26,9.87,10.63,11.54,2023-03-10
2023-01-06,BR,Lula da Silva,negativa,28.4,25.77,26.62,27.37,29.04,29.77,30.65,2023-03-10
2023-01-05,BR,Lula da Silva,regular,17.7,15.07,15.92,16.71,18.43,19.26,20.08,2023-03-10
2023-01-05,BR,Lula da Silva,positiva,44.8,42.11,42.97,43.73,45.43,46.21,47.02,2023-03-10
2023-01-05,BR,Lula da Silva,nsnr,9.1,6.56,7.4,8.22,9.9,10.65,11.55,2023-03-10
2023-01-05,BR,Lula da Silva,negativa,28.4,25.78,26.62,27.42,29.15,29.91,30.79,2023-03-10
2023-01-04,BR,Lula da Silva,regular,17.6,14.92,15.76,16.57,18.34,19.14,20.01,2023-03-10
2023-01-04,BR,Lula da Silva,positiva,44.9,42.15,42.96,43.74,45.49,46.28,47.18,2023-03-10
2023-01-04,BR,Lula da Silva,nsnr,9.1,6.43,7.37,8.18,9.92,10.7,11.58,2023-03-10
2023-01-04,BR,Lula da Silva,negativa,28.5,25.76,26.66,27.48,29.24,29.99,30.92,2023-03-10
2023-01-03,BR,Lula da Silva,regular,17.5,14.81,15.66,16.45,18.27,19.05,19.93,2023-03-10
2023-01-03,BR,Lula da Silva,positiva,44.9,42.1,43.0,43.76,45.55,46.35,47.2,2023-03-10
2023-01-03,BR,Lula da Silva,nsnr,9.1,6.41,7.36,8.15,9.92,10.72,11.68,2023-03-10
2023-01-03,BR,Lula da Silva,negativa,28.6,25.83,26.72,27.54,29.32,30.08,31.03,2023-03-10
2023-01-02,BR,Lula da Silva,regular,17.4,14.64,15.55,16.35,18.19,19.02,19.89,2023-03-10
2023-01-02,BR,Lula da Silva,positiva,44.9,42.08,43.03,43.78,45.6,46.39,47.32,2023-03-10
2023-01-02,BR,Lula da Silva,nsnr,9.1,6.34,7.28,8.11,9.9,10.76,11.66,2023-03-10
2023-01-02,BR,Lula da Silva,negativa,28.6,25.88,26.75,27.6,29.38,30.19,31.16,2023-03-10
2023-01-01,BR,Lula da Silva,regular,17.3,14.49,15.43,16.24,18.06,18.9,19.85,2023-03-10
2023-01-01,BR,Lula da Silva,positiva,45.0,42.12,43.03,43.82,45.65,46.48,47.37,2023-03-10
2023-01-01,BR,Lula da Silva,nsnr,9.0,6.29,7.25,8.08,9.92,10.72,11.67,2023-03-10
2023-01-01,BR,Lula da Silva,negativa,28.7,25.93,26.83,27.67,29.45,30.25,31.28,2023-03-10
