date,stratum,president,rating,projected,hdi_95_lower,hdi_80_lower,hdi_50_lower,hdi_50_higher,hdi_80_higher,hdi_95_higher,updated
2023-03-02,BR,Lula da Silva,negativa,28.3,23.86,25.32,26.67,29.8,31.19,32.75,2023-03-10
2023-03-01,BR,Lula da Silva,regular,19.9,15.43,16.86,18.28,21.38,22.72,24.28,2023-03-10
2023-03-01,BR,Lula da Silva,positiva,43.7,39.15,40.69,42.12,45.09,46.39,47.95,2023-03-10
2023-03-01,BR,Lula da Silva,nsnr,8.1,3.87,5.31,6.62,9.6,10.96,12.49,2023-03-10
2023-03-01,BR,Lula da Silva,negativa,28.3,23.95,25.38,26.73,29.76,31.13,32.74,2023-03-10
2023-02-28,BR,Lula da Silva,regular,19.9,15.58,16.98,18.28,21.33,22.66,24.16,2023-03-10
2023-02-28,BR,Lula da Silva,positiva,43.7,39.24,40.74,42.18,45.05,46.33,47.82,2023-03-10
2023-02-28,BR,Lula da Silva,nsnr,8.1,3.97,5.34,6.68,9.58,10.89,12.36,2023-03-10
2023-02-28,BR,Lula da Silva,negativa,28.3,24.07,25.46,26.76,29.73,31.03,32.56,2023-03-10
2023-02-27,BR,Lula da Silva,regular,19.9,15.67,17.06,18.35,21.27,22.6,24.06,2023-03-10
2023-02-27,BR,Lula da Silva,positiva,43.7,39.31,40.81,42.19,45.03,46.26,47.7,2023-03-10
2023-02-27,BR,Lula da Silva,nsnr,8.1,4.07,5.41,6.7,9.52,10.82,12.25,2023-03-10
2023-02-27,BR,Lula da Silva,negativa,28.3,24.18,25.53,26.79,29.69,30.99,32.48,2023-03-10
2023-02-26,BR,Lula da Silva,regular,19.9,15.81,17.14,18.39,21.22,22.51,23.95,2023-03-10
2023-02-26,BR,Lula da Silva,positiva,43.7,39.43,40.88,42.19,44.98,46.21,47.54,2023-03-10
2023-02-26,BR,Lula da Silva,nsnr,8.1,4.22,5.47,6.71,9.46,10.74,12.15,2023-03-10
2023-02-26,BR,Lula da Silva,negativa,28.3,24.29,25.62,26.82,29.67,30.91,32.39,2023-03-10
2023-02-25,BR,Lula da Silva,regular,19.9,15.97,17.24,18.42,21.18,22.43,23.75,2023-03-10
2023-02-25,BR,Lula da Silva,positiva,43.7,39.53,40.91,42.23,44.93,46.14,47.44,2023-03-10
2023-02-25,BR,Lula da Silva,nsnr,8.1,4.28,5.63,6.77,9.43,10.66,12.05,2023-03-10
2023-02-25,BR,Lula da Silva,negativa,28.3,24.41,25.7,26.86,29.62,30.86,32.26,2023-03-10
2023-02-24,BR,Lula da Silva,regular,19.9,16.12,17.3,18.47,21.13,22.34,23.63,2023-03-10
2023-02-24,BR,Lula da Silva,positiva,43.7,39.67,41.02,42.28,44.88,46.06,47.36,2023-03-10
2023-02-24,BR,Lula da Silva,nsnr,8.1,4.36,5.7,6.85,9.39,10.55,11.96,2023-03-10
2023-02-24,BR,Lula da Silva,negativa,28.3,24.51,25.79,26.91,29.57,30.74,32.16,2023-03-10
2023-02-23,BR,Lula da Silva,regular,19.8,16.09,17.34,18.46,21.14,22.26,23.57,2023-03-10
2023-02-23,BR,Lula da Silva,positiva,43.7,39.75,41.1,42.3,44.85,45.99,47.29,2023-03-10
2023-02-23,BR,Lula da Silva,nsnr,8.2,4.52,5.74,6.88,9.37,10.52,11.86,2023-03-10
2023-02-23,BR,Lula da Silva,negativa,28.3,24.63,25.87,26.95,29.54,30.72,32.06,2023-03-10
2023-02-22,BR,Lula da Silva,regular,19.8,16.12,17.36,18.47,21.08,22.18,23.53,2023-03-10
2023-02-22,BR,Lula da Silva,positiva,43.7,39.84,41.15,42.3,44.82,45.94,47.18,2023-03-10
2023-02-22,BR,Lula da Silva,nsnr,8.2,4.6,5.8,6.92,9.34,10.45,11.84,2023-03-10
2023-02-22,BR,Lula da Silva,negativa,28.3,24.69,25.91,26.98,29.52,30.68,31.99,2023-03-10
2023-02-21,BR,Lula da Silva,regular,19.8,16.14,17.4,18.48,21.01,22.11,23.37,2023-03-10
2023-02-21,BR,Lula da Silva,positiva,43.7,39.91,41.22,42.34,44.79,45.85,47.16,2023-03-10
2023-02-21,BR,Lula da Silva,nsnr,8.2,4.7,5.9,6.98,9.33,10.46,11.78,2023-03-10
2023-02-21,BR,Lula da Silva,negativa,28.3,24.77,25.96,27.02,29.5,30.65,31.94,2023-03-10
2023-02-20,BR,Lula da Silva,regular,19.8,16.17,17.42,18.54,20.95,22.03,23.22,2023-03-10
2023-02-20,BR,Lula da Silva,positiva,43.7,40.03,41.3,42.39,44.77,45.84,47.07,2023-03-10
2023-02-20,BR,Lula da Silva,nsnr,8.2,4.78,5.97,7.02,9.3,10.42,11.64,2023-03-10
2023-02-20,BR,Lula da Silva,negativa,28.3,24.83,26.05,27.08,29.45,30.58,31.8,2023-03-10
2023-02-19,BR,Lula da Silva,regular,19.8,16.24,17.5,18.54,20.88,21.96,23.14,2023-03-10
2023-02-19,BR,Lula da Silva,positiva,43.7,40.14,41.35,42.42,44.73,45.78,46.99,2023-03-10
2023-02-19,BR,Lula da Silva,nsnr,8.2,4.89,6.02,7.04,9.31,10.38,11.53,2023-03-10
2023-02-19,BR,Lula da Silva,negativa,28.4,24.94,26.11,27.11,29.44,30.54,31.72,2023-03-10
2023-02-18,BR,Lula da Silva,regular,19.7,16.34,17.53,18.54,20.82,21.85,23.01,2023-03-10
2023-02-18,BR,Lula da Silva,positiva,43.7,40.24,41.38,42.46,44.71,45.71,46.89,2023-03-10
2023-02-18,BR,Lula da Silva,nsnr,8.2,4.98,6.05,7.07,9.28,10.29,11.52,2023-03-10
2023-02-18,BR,Lula da Silva,negativa,28.4,25.05,26.15,27.16,29.42,30.46,31.64,2023-03-10
2023-02-17,BR,Lula da Silva,regular,19.7,16.43,17.57,18.58,20.76,21.79,22.88,2023-03-10
2023-02-17,BR,Lula da Silva,positiva,43.7,40.39,41.5,42.46,44.66,45.67,46.79,2023-03-10
2023-02-17,BR,Lula da Silva,nsnr,8.2,5.01,6.14,7.12,9.26,10.24,11.33,2023-03-10
2023-02-17,BR,Lula da Silva,negativa,28.4,25.19,26.25,27.2,29.39,30.43,31.53,2023-03-10
