mean;sd;hdi_3%;hdi_97%;mcse_mean;mcse_sd;ess_bulk;ess_tail;r_hat
-0.0;0.1;-0.19;0.17;0.0;0.0;9294.31;6467.35;1.0
-0.05;0.09;-0.21;0.14;0.0;0.0;9716.59;6719.22;1.0
0.0;0.1;-0.17;0.19;0.0;0.0;9828.08;6613.01;1.0
0.02;0.1;-0.17;0.2;0.0;0.0;8874.61;6503.86;1.0
0.05;0.1;-0.14;0.25;0.0;0.0;11328.72;7071.15;1.0
0.07;0.11;-0.16;0.27;0.0;0.0;12672.31;6603.85;1.0
-0.01;0.13;-0.24;0.23;0.0;0.0;16221.92;6898.76;1.0
0.0;0.12;-0.23;0.23;0.0;0.0;13112.91;6567.98;1.0
0.05;0.12;-0.18;0.27;0.0;0.0;14475.81;6058.55;1.0
0.0;0.12;-0.24;0.23;0.0;0.0;14468.8;6517.78;1.0
-0.0;0.12;-0.23;0.22;0.0;0.0;14543.93;6189.93;1.0
-0.03;0.12;-0.26;0.19;0.0;0.0;12780.38;6610.74;1.0
-0.02;0.12;-0.26;0.21;0.0;0.0;15729.15;5995.79;1.0
0.01;0.13;-0.24;0.27;0.0;0.0;18025.99;6090.33;1.0
0.19;0.01;0.16;0.21;0.0;0.0;4138.37;5461.75;1.0
0.0;0.0;0.0;0.0;0.0;0.0;8000.0;8000.0;
0.32;0.14;0.06;0.59;0.0;0.0;13812.55;6340.97;1.0
0.69;0.18;0.37;1.03;0.0;0.0;10457.0;6713.24;1.0
0.69;0.19;0.36;1.07;0.0;0.0;9843.15;6218.31;1.0
0.12;0.19;-0.24;0.48;0.0;0.0;10825.86;6682.52;1.0
-0.34;0.2;-0.7;0.03;0.0;0.0;10893.42;6564.65;1.0
-0.95;0.2;-1.33;-0.57;0.0;0.0;10278.75;6808.3;1.0
-1.22;0.21;-1.62;-0.83;0.0;0.0;9591.65;6985.77;1.0
-1.43;0.22;-1.85;-1.04;0.0;0.0;9401.11;7053.89;1.0
-1.61;0.22;-2.02;-1.2;0.0;0.0;9730.0;6755.39;1.0
-1.69;0.22;-2.1;-1.27;0.0;0.0;10164.28;6847.76;1.0
-1.76;0.23;-2.17;-1.33;0.0;0.0;10012.67;7247.22;1.0
-1.78;0.23;-2.22;-1.35;0.0;0.0;10119.31;6691.81;1.0
-1.87;0.23;-2.29;-1.45;0.0;0.0;9242.62;6679.34;1.0
-1.85;0.23;-2.28;-1.42;0.0;0.0;8488.67;6285.58;1.0
-1.86;0.23;-2.3;-1.42;0.0;0.0;9070.12;6853.85;1.0
-1.81;0.25;-2.29;-1.36;0.0;0.0;9349.67;7488.8;1.0
-1.79;0.27;-2.28;-1.26;0.0;0.0;10133.83;7494.53;1.0
-1.79;0.34;-2.44;-1.16;0.0;0.0;12575.87;6576.16;1.0
-1.79;0.39;-2.51;-1.05;0.0;0.0;13613.41;6295.17;1.0
-1.79;0.43;-2.6;-0.98;0.0;0.0;15071.05;6065.23;1.0
-1.79;0.46;-2.67;-0.93;0.0;0.0;15362.78;5714.28;1.0
-1.8;0.5;-2.73;-0.85;0.0;0.0;15906.39;5168.67;1.0
-1.79;0.54;-2.86;-0.84;0.0;0.0;16342.05;5481.92;1.0
-1.79;0.57;-2.85;-0.71;0.0;0.0;17061.19;6096.4;1.0
-1.79;0.6;-2.93;-0.7;0.0;0.0;16797.61;6035.59;1.0
-1.8;0.63;-2.99;-0.63;0.0;0.0;17574.47;6409.31;1.0
-1.8;0.66;-3.13;-0.65;0.0;0.0;17866.96;6107.8;1.0
-1.8;0.68;-3.09;-0.53;0.01;0.0;17968.55;6308.93;1.0
-1.79;0.71;-3.13;-0.5;0.01;0.0;17673.26;6213.2;1.0
-1.79;0.73;-3.22;-0.48;0.01;0.0;17121.54;5834.11;1.0
-1.79;0.75;-3.18;-0.4;0.01;0.0;17285.72;6138.18;1.0
-1.79;0.77;-3.16;-0.26;0.01;0.0;17761.0;6069.5;1.0
-1.79;0.8;-3.3;-0.31;0.01;0.01;17677.67;6227.7;1.0
-1.79;0.82;-3.33;-0.24;0.01;0.01;17830.1;6422.05;1.0
-1.79;0.84;-3.42;-0.26;0.01;0.01;17530.5;5880.61;1.0
-1.79;0.87;-3.47;-0.21;0.01;0.01;17932.49;6005.24;1.0
-1.79;0.89;-3.5;-0.16;0.01;0.01;18719.86;6099.19;1.0
-1.79;0.91;-3.55;-0.11;0.01;0.01;18796.55;5765.79;1.0
-1.79;0.93;-3.53;-0.04;0.01;0.01;18620.88;6016.76;1.0
-1.79;0.96;-3.6;0.03;0.01;0.01;19000.28;5756.21;1.0
-1.79;0.98;-3.66;0.06;0.01;0.01;18879.63;5937.81;1.0
-1.79;1.0;-3.63;0.16;0.01;0.01;18682.48;5976.97;1.0
-1.79;1.02;-3.69;0.16;0.01;0.01;19697.2;6137.15;1.0
-1.79;1.04;-3.87;0.03;0.01;0.01;19037.72;5742.79;1.0
-1.79;1.06;-3.82;0.15;0.01;0.01;18931.33;5289.47;1.0
