date,mean,hdi_50_lower,hdi_50_upper,hdi_90_lower,hdi_90_upper,label
2019-01-01,0.17942378904751752,0.149,0.204,0.111,0.247,negativo
2019-02-01,0.21138540625376978,0.18130434782608695,0.24,0.13886113886113885,0.2822177822177822,negativo
2019-03-01,0.2520409483108962,0.222,0.29106858054226475,0.174,0.344,negativo
2019-04-01,0.2597370615818394,0.22464285714285714,0.296,0.185,0.357,negativo
2019-05-01,0.3092629902516295,0.278,0.353,0.232,0.416,negativo
2019-06-01,0.322064392541072,0.294,0.3705,0.244,0.4305,negativo
2019-07-01,0.3252522468875077,0.2892857142857143,0.369,0.24071428571428571,0.432,negativo
2019-08-01,0.33250531201593336,0.2945833333333333,0.36706349206349204,0.246,0.4210789210789211,negativo
2019-09-01,0.3471620798094283,0.32047477744807124,0.392,0.269,0.444,negativo
2019-10-01,0.3586514047345077,0.31736526946107785,0.3902195608782435,0.27,0.448,negativo
2019-11-01,0.3572303256723257,0.336,0.414,0.285,0.4750479846449136,negativo
2019-12-01,0.33745930362534865,0.298,0.372,0.249,0.428,negativo
2020-01-01,0.3204821332169435,0.27666666666666667,0.34708333333333335,0.23026973026973027,0.403,negativo
2020-02-01,0.31487146170417396,0.2808219178082192,0.35518590998043054,0.23679060665362034,0.4195,negativo
2020-03-01,0.3139482558701228,0.27588235294117647,0.353,0.225,0.413,negativo
2020-04-01,0.39198410261010647,0.36260811709913504,0.439,0.308,0.495,negativo
2020-05-01,0.4426407393640758,0.404,0.4826666666666667,0.34933333333333333,0.542,negativo
2020-06-01,0.468169619342579,0.4478947368421053,0.5273684210526316,0.39266666666666666,0.585,negativo
2020-07-01,0.4245566141767073,0.39,0.464,0.33793103448275863,0.5192118226600986,negativo
2020-08-01,0.37607619142842924,0.34132124352331605,0.418,0.292,0.48,negativo
2020-09-01,0.33590091244008585,0.314,0.3832,0.266,0.43643724696356273,negativo
2020-10-01,0.33394405357535045,0.3,0.3692,0.249,0.418,negativo
2020-11-01,0.36163662064975716,0.334,0.41,0.288,0.472,negativo
2020-12-01,0.3724461455894256,0.33878968253968256,0.411,0.287,0.4632,negativo
2021-01-01,0.41358896250913046,0.38161838161838163,0.46,0.33,0.5216400911161732,negativo
2021-02-01,0.4166132890431768,0.3875,0.46,0.3358333333333333,0.5125,negativo
2021-03-01,0.47429582267042336,0.45,0.528083848427842,0.3939693524468611,0.5851428571428572,negativo
2021-04-01,0.4950604047500651,0.47828571428571426,0.5534285714285714,0.4273756770064008,0.6085672082717873,negativo
2021-05-01,0.48329514231452847,0.45,0.53,0.4,0.595,negativo
2021-06-01,0.49955593363686146,0.4666666666666667,0.5441666666666667,0.405,0.5950479233226837,negativo
2021-07-01,0.5142116191372639,0.47996794871794873,0.561,0.41933333333333334,0.6172,negativo
2021-08-01,0.5108618841957514,0.472,0.55,0.418,0.6065,negativo
2021-09-01,0.538183250244253,0.5044,0.5860376329424598,0.4439596400327243,0.6424030514939606,negativo
2021-10-01,0.530408156138563,0.5028,0.5792,0.44384765625,0.63,negativo
2021-11-01,0.5290442800078914,0.46873485215705285,0.5569565217391305,0.41,0.6196,negativo
