date,mean,hdi_50_lower,hdi_50_upper,hdi_90_lower,hdi_90_upper,label
2019-01-01,0.2761980173012983,0.248,0.305,0.209,0.35,regular
2019-02-01,0.28959016303361257,0.265,0.324,0.224,0.36869565217391304,regular
2019-03-01,0.3361956977485685,0.2975,0.361,0.2525,0.4065,regular
2019-04-01,0.3332510139346784,0.303,0.367,0.2595,0.415,regular
2019-05-01,0.32524414786079764,0.2895,0.353,0.243,0.398,regular
2019-06-01,0.3057218277473952,0.262,0.324,0.2235,0.374,regular
2019-07-01,0.298943850854478,0.26,0.323,0.223,0.375,regular
2019-08-01,0.2955217602968388,0.265,0.32626824183460734,0.225,0.375,regular
2019-09-01,0.28246447121613155,0.2385,0.308,0.17768324607329844,0.35509396636993074,regular
2019-10-01,0.27926174409796733,0.246,0.305,0.2085828343313373,0.353,regular
2019-11-01,0.27951379689205375,0.2437619961612284,0.305,0.203,0.3522072936660269,regular
2019-12-01,0.29840386835385396,0.2723156532988357,0.333,0.2314214463840399,0.379,regular
2020-01-01,0.2967879918087459,0.2679166666666667,0.32967032967032966,0.225,0.374,regular
2020-02-01,0.3034538341215166,0.267,0.32823025107164727,0.224,0.373,regular
2020-03-01,0.2902272445081406,0.257,0.318,0.2195,0.3672025723472669,regular
2020-04-01,0.26831111169345107,0.23,0.29008649367930806,0.19,0.337,regular
2020-05-01,0.2499606247499095,0.206,0.266,0.1644,0.31222812953117446,regular
2020-06-01,0.23188160841138428,0.186,0.24947368421052632,0.14112103174603174,0.296,regular
2020-07-01,0.2552546348254911,0.2064,0.2660098522167488,0.1672,0.31,regular
2020-08-01,0.25932756783786437,0.21598062953995156,0.27554479418886196,0.172,0.316,regular
2020-09-01,0.2780849307127434,0.2248,0.291,0.1836,0.342,regular
2020-10-01,0.2689786163191425,0.225,0.288,0.1844,0.33616383616383616,regular
2020-11-01,0.2575858238456385,0.2056,0.266,0.17,0.315,regular
2020-12-01,0.2545389842595631,0.2056,0.2650246305418719,0.1672,0.31101190476190477,regular
2021-01-01,0.24803284133220524,0.20078099576960626,0.25916666666666666,0.1636,0.305,regular
2021-02-01,0.25045099915787594,0.2075,0.27125,0.17,0.3241758241758242,regular
2021-03-01,0.2375657260890893,0.188,0.24314285714285713,0.15428571428571428,0.2892430278884462,regular
2021-04-01,0.2356668947943128,0.18,0.23833333333333334,0.14514285714285713,0.2860659773510586,regular
2021-05-01,0.22605596131557118,0.1824,0.24003189792663476,0.1475,0.286,regular
2021-06-01,0.21703516635775513,0.178,0.236,0.1408,0.282,regular
2021-07-01,0.20958185048838157,0.17467948717948717,0.23300970873786409,0.1352,0.2767598842815815,regular
2021-08-01,0.19436179404723378,0.144,0.21266666666666667,0.116,0.275,regular
2021-09-01,0.19430581924537588,0.154,0.213,0.1188,0.26023976023976025,regular
2021-10-01,0.1961695672698082,0.1408,0.2032,0.1136,0.265625,regular
2021-11-01,0.19630846990658055,0.1492,0.21619001454192924,0.11630434782608695,0.27435773145904024,regular
