biden_approval,vote2016,vote2020,gss_trust,gss_bible,gss_spanking,social_none,social_fb,social_twitter,social_instagram,social_tiktok,social_pinterest,gender,race,education,income,urban_rural,state,age,region,voted2016,voted2020,race_white,college,noncollege_white,weight
Somewhat approve,Did not vote,Did not vote,Can trust,I don’t know,Somewhat agree,False,True,True,True,False,False,Male,White or Caucasian,Graduated from high school,"Under $15,000",Rural,Ohio,25-44,Midwest,False,False,True,False,True,0.8759920398632531
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,True,True,True,True,Male,White or Caucasian,"Some college, no degree","Between $100,000 and $150,000",Suburban,Florida,45-64,Southeast,True,True,True,True,False,2.5154269361450354
Somewhat approve,Did not vote,Joe Biden,Can trust,I don’t know,Somewhat agree,False,True,False,True,True,False,Male,Asian or Asian American,Graduated from college,"Between $50,000 and $74,999",Suburban,Nevada,25-44,Southwest,False,True,False,True,False,0.41641462774982696
Somewhat approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,True,True,False,Female,Black or African American,Graduated from college,"Between $15,000 and $49,999",Urban,Illinois,18-24,Midwest,False,True,False,True,False,0.08249815338054753
Somewhat approve,Other,Joe Biden,Can't be too careful,I don’t know,Don't know,True,False,False,False,False,False,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Urban,Colorado,25-44,Southwest,True,True,True,True,False,0.5440177273471113
Somewhat approve,Donald Trump,Donald Trump,Can't be too careful,Word of God,Agree,False,True,True,True,False,True,Male,Black or African American,Completed graduate school,"Between $50,000 and $74,999",Suburban,New York,25-44,Northeast,True,True,False,True,False,1.1578470160408914
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,Word of God,Somewhat agree,False,False,True,True,True,False,Male,Hispanic or Latino,"Some college, no degree","Between $15,000 and $49,999",Urban,California,25-44,Pacific,False,False,False,True,False,2.816618801685624
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Somewhat agree,False,True,True,True,False,False,Male,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Suburban,Florida,45-64,Southeast,True,True,True,True,False,0.23100372007268033
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,True,False,Male,White or Caucasian,Completed graduate school,"Over $150,000",Urban,California,25-44,Pacific,True,True,True,True,False,0.2943681524480409
Somewhat disapprove,Hillary Clinton,Other,Can trust,Inspired word,Somewhat agree,False,True,True,True,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Minnesota,25-44,Midwest,True,True,True,True,False,0.15627555418898043
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Disagree,False,False,True,True,False,False,Male,Asian or Asian American,Graduated from college,"Between $75,000 and $99,999",Urban,New Mexico,25-44,Southwest,True,True,False,True,False,0.09953026253991819
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Don't know,False,True,True,True,False,False,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Urban,North Dakota,45-64,Mountains,True,True,True,True,False,1.8300505048319946
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Somewhat agree,False,True,True,False,False,False,Male,White or Caucasian,Graduated from college,"Under $15,000",Suburban,Nevada,65+,Southwest,True,True,True,True,False,0.8840889739717374
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,True,True,True,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Tennessee,25-44,South,True,True,True,True,False,0.07740620000942475
Neither approve nor disapprove,Donald Trump,Donald Trump,Can trust,Book of fables,Disagree,False,False,False,True,False,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Colorado,25-44,Southwest,True,True,True,True,False,0.054568492894051884
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,False,False,False,True,Female,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Urban,District of Columbia (DC),25-44,Northeast,True,True,True,True,False,0.03904957134700723
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,False,False,False,False,Female,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Suburban,Iowa,25-44,Midwest,True,True,True,True,False,0.03963042671498088
Somewhat approve,Other,Joe Biden,Can't be too careful,Inspired word,Disagree,False,False,True,True,False,False,Male,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Suburban,Delaware,18-24,Northeast,True,True,True,True,False,0.1324131046570839
Neither approve nor disapprove,Did not vote,Did not vote,Can trust,Book of fables,Don't know,False,False,True,False,False,False,Male,Black or African American,"Some college, no degree","Between $15,000 and $49,999",Suburban,California,18-24,Pacific,False,False,False,True,False,0.3745342706153305
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Male,Hispanic or Latino,Graduated from college,"Between $50,000 and $74,999",Suburban,Florida,25-44,Southeast,True,True,False,True,False,0.08222321981284195
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,True,False,False,Male,Other,Graduated from college,"Between $50,000 and $74,999",Suburban,California,25-44,Pacific,True,True,False,True,False,0.03345603509830659
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Disagree,False,True,True,True,False,False,Male,Black or African American,Graduated from college,"Between $15,000 and $49,999",Suburban,Texas,18-24,South,True,True,False,True,False,0.06742501412568844
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Somewhat disagree,False,True,True,True,False,False,Female,White or Caucasian,Graduated from high school,"Under $15,000",Urban,California,45-64,Pacific,True,True,True,False,True,1.6400197893947583
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,True,False,True,Female,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Suburban,Massachusetts,25-44,Northeast,True,True,True,True,False,0.10216722840217979
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,False,False,False,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,California,25-44,Pacific,True,True,True,True,False,0.02915694195192146
Somewhat disapprove,Did not vote,Did not vote,Can trust,Inspired word,Disagree,False,True,False,False,False,False,Male,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,California,25-44,Pacific,False,False,True,True,False,0.34499526395848384
Somewhat disapprove,Donald Trump,Donald Trump,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Connecticut,45-64,Northeast,True,True,True,True,False,0.10214205091635961
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Inspired word,Disagree,False,True,False,False,False,True,Female,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Rural,New Hampshire,45-64,Northeast,True,True,True,False,True,1.5141795992085072
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Somewhat disagree,False,True,True,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Suburban,Massachusetts,65+,Northeast,True,True,True,True,False,2.047275216148883
Neither approve nor disapprove,Donald Trump,Donald Trump,Can trust,Book of fables,Somewhat disagree,True,False,False,False,False,False,Male,Black or African American,Graduated from college,"Between $100,000 and $150,000",Rural,Oklahoma,25-44,Mountains,True,True,False,True,False,3.1528193882006534
Neither approve nor disapprove,Did not vote,Did not vote,Can trust,Inspired word,Disagree,False,True,False,True,False,False,Male,White or Caucasian,Graduated from college,"Under $15,000",Suburban,Texas,25-44,South,False,False,True,True,False,0.045716847673900204
Disapprove,Donald Trump,Donald Trump,Can trust,Inspired word,Somewhat disagree,False,False,True,False,False,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Urban,New York,45-64,Northeast,True,True,True,True,False,0.6853158254681153
Somewhat approve,Donald Trump,Joe Biden,Can't be too careful,Inspired word,Don't know,False,True,False,False,False,True,Female,White or Caucasian,Graduated from high school,"Under $15,000",Suburban,Florida,25-44,Southeast,True,True,True,False,True,0.16192873888319267
Neither approve nor disapprove,Did not vote,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,False,False,False,Male,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Suburban,Texas,18-24,South,False,True,False,True,False,0.024724941254241184
Approve,Did not vote,Joe Biden,Don’t know,I don’t know,Disagree,False,True,False,False,False,False,Female,Asian or Asian American,Graduated from college,"Between $15,000 and $49,999",Urban,New York,25-44,Northeast,False,True,False,True,False,0.10256304754008938
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Texas,25-44,South,True,True,True,True,False,0.042139993468316726
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Don’t know,Book of fables,Disagree,False,True,True,False,False,True,Female,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Urban,Michigan,25-44,Midwest,True,True,True,True,False,0.053278982619443534
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,True,Male,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Rural,Michigan,25-44,Midwest,True,True,True,True,False,0.026407028544419387
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,False,True,Female,Hispanic or Latino,"Some college, no degree","Between $15,000 and $49,999",Suburban,California,45-64,Pacific,True,True,False,True,False,0.9692705873996244
Somewhat disapprove,Hillary Clinton,Joe Biden,Can trust,Book of fables,Agree,False,True,True,True,True,False,Male,Asian or Asian American,Graduated from college,"Between $50,000 and $74,999",Suburban,Florida,18-24,Southeast,True,True,False,True,False,0.04929687620003097
Somewhat approve,Other,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,False,True,False,True,Male,White or Caucasian,Graduated from college,"Under $15,000",Urban,New York,18-24,Northeast,True,True,True,True,False,0.005467261002351303
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,Book of fables,Disagree,False,False,True,False,False,False,Male,Black or African American,Graduated from high school,"Under $15,000",Suburban,Louisiana,18-24,South,False,False,False,False,False,0.1227767555425886
Strongly disapprove,Did not vote,Did not vote,Can't be too careful,Inspired word,Disagree,False,True,True,True,True,False,Male,Hispanic or Latino,"Some college, no degree","Under $15,000",Suburban,Indiana,18-24,Midwest,False,False,False,True,False,0.2854586505937849
Somewhat disapprove,Hillary Clinton,Donald Trump,Can't be too careful,Word of God,Somewhat disagree,False,True,False,True,False,True,Female,White or Caucasian,Graduated from high school,"Under $15,000",Rural,Michigan,18-24,Midwest,True,True,True,False,True,1.0006328355362726
Strongly approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Rural,Illinois,25-44,Midwest,True,True,True,True,False,0.049000337007264846
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Somewhat disagree,False,True,False,True,False,True,Female,Asian or Asian American,Completed graduate school,"Between $75,000 and $99,999",Suburban,Maryland,25-44,Northeast,True,True,False,True,False,0.07256102966057153
Approve,Other,Joe Biden,Can't be too careful,Inspired word,Don't know,False,True,False,True,False,False,Male,Black or African American,"Some college, no degree","Between $15,000 and $49,999",Suburban,Maryland,25-44,Northeast,True,True,False,True,False,0.7065439616875075
Approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,False,True,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Urban,Ohio,25-44,Midwest,True,True,True,True,False,0.055223953697828294
Somewhat disapprove,Did not vote,Joe Biden,Can't be too careful,Inspired word,Disagree,False,False,False,True,False,True,Female,Asian or Asian American,Graduated from high school,"Between $15,000 and $49,999",Urban,California,18-24,Pacific,False,True,False,False,False,0.2466821758287295
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Agree,False,True,False,False,False,True,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,North Carolina,25-44,Southeast,True,True,True,True,False,0.3275906427803295
Approve,Other,Joe Biden,Can trust,Inspired word,Disagree,False,True,True,True,False,True,Female,White or Caucasian,"Some college, no degree","Between $100,000 and $150,000",Suburban,Virginia,45-64,South,True,True,True,True,False,2.979138458663253
Disapprove,Hillary Clinton,Joe Biden,Don’t know,Book of fables,Disagree,False,True,True,True,False,False,Other,White or Caucasian,"Some college, no degree","Under $15,000",Rural,Connecticut,25-44,Northeast,True,True,True,True,False,0.08813435255194882
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Word of God,Don't know,False,True,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Indiana,45-64,Midwest,True,True,True,True,False,1.458800626656574
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,True,True,True,True,Male,Asian or Asian American,Completed graduate school,"Between $50,000 and $74,999",Urban,Michigan,25-44,Midwest,True,True,False,True,False,0.06047795335085384
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Disagree,False,True,True,True,False,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Suburban,Arizona,45-64,Southwest,True,True,True,True,False,0.3947783070295506
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Somewhat agree,False,True,True,True,True,False,Male,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Kentucky,25-44,South,True,True,True,True,False,0.14328433628406656
Approve,Did not vote,Did not vote,Can't be too careful,Inspired word,Don't know,False,True,True,True,False,True,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,Ohio,25-44,Midwest,False,False,True,True,False,0.8706686515623634
Neither approve nor disapprove,Did not vote,Did not vote,Can't be too careful,Inspired word,Somewhat disagree,False,False,False,False,False,True,Female,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Urban,Indiana,18-24,Midwest,False,False,True,False,True,1.7306645127445155
Strongly disapprove,Donald Trump,Donald Trump,Can't be too careful,Word of God,Agree,False,True,False,False,False,False,Female,White or Caucasian,"Some college, no degree","Over $150,000",Suburban,Georgia,25-44,Southeast,True,True,True,True,False,13.472779600809837
Strongly approve,Donald Trump,Joe Biden,Can't be too careful,Word of God,Agree,False,True,True,True,False,False,Male,Black or African American,"Some college, no degree","Between $50,000 and $74,999",Urban,California,25-44,Pacific,True,True,False,True,False,2.3222322082875624
Disapprove,Donald Trump,Donald Trump,Can't be too careful,Word of God,Somewhat disagree,False,True,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Urban,Tennessee,45-64,South,True,True,True,True,False,0.8914539046213656
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,Inspired word,Somewhat agree,False,True,True,True,False,False,Male,Black or African American,Completed graduate school,"Between $100,000 and $150,000",Suburban,California,25-44,Pacific,True,True,False,True,False,1.1595041955032914
Somewhat approve,Hillary Clinton,Joe Biden,Can trust,Book of fables,Don't know,False,False,False,True,False,False,Female,Asian or Asian American,Completed graduate school,"Between $50,000 and $74,999",Urban,Massachusetts,25-44,Northeast,True,True,False,True,False,0.05088981716590399
Somewhat approve,Donald Trump,Joe Biden,Can trust,Book of fables,Somewhat agree,True,False,False,False,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Suburban,Ohio,18-24,Midwest,True,True,True,True,False,0.041815414055354216
Somewhat approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,False,Female,White or Caucasian,"Some college, no degree","Between $15,000 and $49,999",Suburban,Florida,25-44,Southeast,False,True,True,True,False,0.08216042054807045
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,Tennessee,65+,South,True,True,True,True,False,0.2345122347891015
Somewhat disapprove,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,True,Female,Asian or Asian American,Graduated from high school,"Under $15,000",Suburban,New York,25-44,Northeast,True,True,False,False,False,0.05227371266328529
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Male,White or Caucasian,Graduated from high school,"Under $15,000",Rural,Pennsylvania,25-44,Midwest,True,True,True,False,True,0.06988953086052739
Somewhat disapprove,Other,Did not vote,Can't be too careful,Book of fables,Agree,False,True,False,True,True,True,Male,Asian or Asian American,Graduated from college,"Under $15,000",Urban,Missouri,25-44,South,True,False,False,True,False,0.01751088659483209
Strongly disapprove,Did not vote,Did not vote,Don’t know,Book of fables,Disagree,True,False,False,False,False,False,Male,Hispanic or Latino,"Some college, no degree","Under $15,000",Suburban,Pennsylvania,18-24,Midwest,False,False,False,True,False,0.145908902672518
Somewhat approve,Donald Trump,Donald Trump,Can't be too careful,Word of God,Agree,False,True,True,True,False,False,Female,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Rural,Georgia,45-64,Southeast,True,True,True,False,True,4.9105868071186505
Disapprove,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,False,True,True,False,False,Male,White or Caucasian,Less than high school,"Under $15,000",Suburban,California,25-44,Pacific,False,True,True,False,True,0.7729294242181035
Strongly approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,False,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $50,000 and $74,999",Urban,Missouri,25-44,South,True,True,True,True,False,0.05592304011675274
Strongly approve,Other,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,False,False,Male,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Rural,Pennsylvania,25-44,Midwest,True,True,True,True,False,0.028284118648820772
Strongly disapprove,Did not vote,Other,Don’t know,Book of fables,Somewhat disagree,False,True,True,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Suburban,Tennessee,25-44,South,False,True,True,True,False,0.029978207977927367
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,False,True,False,False,Male,White or Caucasian,Graduated from college,"Between $100,000 and $150,000",Suburban,California,25-44,Pacific,True,True,True,True,False,0.5082746204180085
Approve,Hillary Clinton,Joe Biden,Can't be too careful,Book of fables,Somewhat agree,False,True,True,True,False,False,Female,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Urban,Ohio,25-44,Midwest,True,True,True,True,False,0.13149781450676248
Neither approve nor disapprove,Donald Trump,Donald Trump,Can trust,Word of God,Agree,True,False,False,False,False,False,Female,White or Caucasian,Graduated from high school,"Between $15,000 and $49,999",Rural,South Carolina,65+,Southeast,True,True,True,False,True,23.978049599725736
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Inspired word,Agree,False,True,False,False,False,False,Male,Other,"Some college, no degree","Between $50,000 and $74,999",Rural,Idaho,25-44,Mountains,True,True,False,True,False,3.8306845649511816
Strongly approve,Did not vote,Did not vote,Can't be too careful,Book of fables,Don't know,False,False,True,True,False,False,Female,White or Caucasian,Graduated from college,"Between $50,000 and $74,999",Urban,New York,25-44,Northeast,False,False,True,True,False,0.17004887921414125
Somewhat approve,Other,Joe Biden,Can trust,Inspired word,Don't know,False,True,True,True,False,False,Female,Hispanic or Latino,Graduated from college,"Between $100,000 and $150,000",Suburban,Louisiana,25-44,South,True,True,False,True,False,2.8381773012435674
Neither approve nor disapprove,Other,Joe Biden,Can't be too careful,Book of fables,Don't know,False,False,True,True,True,False,Male,Hispanic or Latino,"Some college, no degree","Between $15,000 and $49,999",Suburban,South Carolina,18-24,Southeast,True,True,False,True,False,0.13847759781119914
Strongly disapprove,Donald Trump,Donald Trump,Can trust,Word of God,Somewhat disagree,False,True,True,False,False,False,Female,White or Caucasian,"Some college, no degree","Between $50,000 and $74,999",Rural,Michigan,65+,Midwest,True,True,True,True,False,16.340539957746184
Somewhat approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Somewhat disagree,False,True,True,True,True,True,Female,White or Caucasian,Graduated from college,"Under $15,000",Suburban,Texas,18-24,South,False,True,True,True,False,0.025037010091818784
Somewhat approve,Hillary Clinton,Joe Biden,Can't be too careful,I don’t know,Don't know,False,False,True,True,False,False,Female,Black or African American,"Some college, no degree","Between $15,000 and $49,999",Suburban,Florida,25-44,Southeast,True,True,False,True,False,0.7447856277267172
Neither approve nor disapprove,Hillary Clinton,Joe Biden,Can trust,Inspired word,Somewhat disagree,False,True,False,False,False,False,Male,White or Caucasian,Completed graduate school,"Between $75,000 and $99,999",Suburban,Texas,25-44,South,True,True,True,True,False,0.21252238742821486
Somewhat disapprove,Hillary Clinton,Joe Biden,Can trust,Book of fables,Disagree,False,True,True,True,False,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Suburban,New Jersey,25-44,Northeast,True,True,True,True,False,0.0450556691438218
Strongly disapprove,Did not vote,Donald Trump,Can trust,Book of fables,Disagree,True,False,False,False,False,False,Male,Black or African American,"Some college, no degree","Under $15,000",Suburban,California,25-44,Pacific,False,True,False,True,False,0.2559520372776976
Neither approve nor disapprove,Donald Trump,Donald Trump,Can't be too careful,Inspired word,Don't know,False,True,True,True,False,False,Male,White or Caucasian,Completed graduate school,"Over $150,000",Suburban,Minnesota,25-44,Midwest,True,True,True,True,False,1.4629080633431728
Approve,Hillary Clinton,Joe Biden,Can trust,Inspired word,Disagree,False,True,False,True,False,True,Female,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Urban,Wisconsin,25-44,Midwest,True,True,True,True,False,0.09100983379628996
Neither approve nor disapprove,Did not vote,Donald Trump,Can't be too careful,Book of fables,Don't know,False,True,False,True,True,False,Female,White or Caucasian,Completed graduate school,"Between $15,000 and $49,999",Urban,Pennsylvania,25-44,Midwest,False,True,True,True,False,0.15902180545782432
Neither approve nor disapprove,Did not vote,Joe Biden,Can't be too careful,Book of fables,Somewhat agree,False,True,True,True,True,True,Female,Hispanic or Latino,"Some college, no degree","Between $50,000 and $74,999",Suburban,California,18-24,Pacific,False,True,False,True,False,0.7580532125681958
Approve,Other,Joe Biden,Can trust,Inspired word,Disagree,False,False,True,True,False,False,Female,White or Caucasian,Graduated from college,"Between $15,000 and $49,999",Urban,Wisconsin,25-44,Midwest,True,True,True,True,False,0.11042158434570228
Somewhat approve,Hillary Clinton,Joe Biden,Don’t know,Book of fables,Somewhat disagree,False,True,True,True,False,False,Male,Black or African American,Graduated from college,"Between $15,000 and $49,999",Urban,Georgia,25-44,Southeast,True,True,False,True,False,0.1352085918678879
Approve,Did not vote,Joe Biden,Can't be too careful,Book of fables,Disagree,False,True,True,True,True,False,Female,White or Caucasian,"Some college, no degree","Under $15,000",Urban,Wisconsin,18-24,Midwest,False,True,True,True,False,0.042083638757830555
