"FPV.PJ","PRO","FR.PJ","Outros","date"
0.21630660743474,0.148338670275196,0.305254997158204,0.330099725131861,2014-03-15
0.216541402898467,0.148795183408858,0.304803089542786,0.329860324149889,2014-03-16
0.2167759079393,0.149252716196837,0.304351107531786,0.329620268332078,2014-03-17
0.21701011754051,0.149711257118212,0.303899070643411,0.329379554697867,2014-03-18
0.217244026727028,0.150170794534494,0.303446998369182,0.329138180369296,2014-03-19
0.217477630565977,0.150631316689484,0.302994910173527,0.328896142571012,2014-03-20
0.217710924167195,0.151092811709149,0.302542825493392,0.328653438630264,2014-03-21
0.217943902683761,0.151555267601503,0.302090763737847,0.32841006597689,2014-03-22
0.218176561312511,0.152018672256504,0.301638744287693,0.328166022143292,2014-03-23
0.218408895294554,0.152483013445966,0.301186786495084,0.327921304764397,2014-03-24
0.218640899915778,0.152948278823473,0.300734909683137,0.327675911577611,2014-03-25
0.21887257050736,0.153414455924315,0.300283133145563,0.327429840422762,2014-03-26
0.21910390244626,0.153881532165428,0.299831476146287,0.327183089242024,2014-03-27
0.219334891155722,0.154349494845355,0.299379957919081,0.326935656079841,2014-03-28
0.21956553210576,0.154818331144209,0.2989285976672,0.326687539082831,2014-03-29
0.219795820813647,0.155288028123652,0.298477414563018,0.326438736499683,2014-03-30
0.220025752844393,0.155758572726893,0.298026427747671,0.326189246681043,2014-03-31
0.220255323811221,0.156229951778685,0.297575656330711,0.325939068079384,2014-04-01
0.220484529376037,0.156702151985344,0.297125119389749,0.32568819924887,2014-04-02
0.220713365249895,0.157175159934779,0.296674835970119,0.325436638845207,2014-04-03
0.220941827193454,0.157648962096529,0.296224825084536,0.325184385625481,2014-04-04
0.221169911017433,0.158123544821816,0.295775105712767,0.324931438447985,2014-04-05
0.221397612583058,0.158598894343611,0.295325696801295,0.324677796272035,2014-04-06
0.221624927802503,0.159074996776713,0.294876617263005,0.324423458157778,2014-04-07
0.221851852639326,0.159551838117833,0.29442788597686,0.324168423265981,2014-04-08
0.2220783831089,0.160029404245699,0.293979521787587,0.323912690857814,2014-04-09
0.222304515278833,0.160507680921169,0.293531543505375,0.323656260294623,2014-04-10
0.222530245269389,0.160986653787356,0.29308396990557,0.323399131037685,2014-04-11
0.222755569253895,0.16146630836977,0.292636819728378,0.323141302647957,2014-04-12
0.222980483459151,0.161946630076462,0.292190111678575,0.322882774785812,2014-04-13
0.223204984165821,0.162427604198193,0.291743864425224,0.322623547210763,2014-04-14
0.223429067708828,0.162909215908605,0.291298096601392,0.322363619781175,2014-04-15
0.223652730477737,0.163391450264412,0.290852826803881,0.32210299245397,2014-04-16
0.223875968917133,0.163874292205595,0.29040807359296,0.321841665284312,2014-04-17
0.224098779526993,0.164357726555617,0.289963855492101,0.321579638425288,2014-04-18
0.224321158863046,0.164841738021648,0.289520190987731,0.321316912127576,2014-04-19
0.22454310353713,0.165326311194796,0.289077098528976,0.321053486739098,2014-04-20
0.224764610217543,0.165811430550362,0.288634596527427,0.320789362704667,2014-04-21
0.224985675629384,0.166297080448097,0.2881927033569,0.320524540565619,2014-04-22
0.225206296554884,0.166783245132474,0.287751437353209,0.320259020959433,2014-04-23
0.225426469833739,0.167269908732975,0.287310816813944,0.319992804619342,2014-04-24
0.225646192363421,0.167757055264388,0.286870859998256,0.319725892373935,2014-04-25
0.225865461099495,0.168244668627114,0.286431585126652,0.319458285146739,2014-04-26
0.226084273055922,0.16873273260749,0.28599301038079,0.319189983955798,2014-04-27
0.22630262530535,0.169221230878121,0.285555153903287,0.318920989913242,2014-04-28
0.226520514979409,0.169710146998226,0.285118033797532,0.318651304224833,2014-04-29
0.226737939268981,0.170199464413996,0.284681668127509,0.318380928189515,2014-04-30
0.226954895424481,0.170689166458957,0.284246074917622,0.318109863198941,2014-05-01
0.227171380756112,0.17117923635436,0.283811272152532,0.317838110736996,2014-05-02
0.227387392634127,0.171669657209566,0.283377277777001,0.317565672379306,2014-05-03
0.227602928489068,0.172160412022452,0.282944109695742,0.317292549792738,2014-05-04
0.227817985812008,0.172651483679829,0.282511785773278,0.317018744734885,2014-05-05
0.228032562154781,0.173142854957869,0.282080323833808,0.316744259053543,2014-05-06
0.228246655130199,0.173634508522541,0.28164974166108,0.31646909468618,2014-05-07
0.228460262412266,0.174126426930067,0.281220056998277,0.31619325365939,2014-05-08
0.228673381736384,0.174618592627378,0.280791287547905,0.315916738088334,2014-05-09
0.228886010899539,0.175110987952592,0.28036345097169,0.315639550176179,2014-05-10
0.229098147760495,0.175603595135498,0.27993656489049,0.315361692213517,2014-05-11
0.229309790239963,0.176096396298052,0.279510646884203,0.315083166577782,2014-05-12
0.229520936320775,0.176589373454881,0.279085714491698,0.314803975732646,2014-05-13
0.229731584048033,0.177082508513807,0.278661785210741,0.314524122227418,2014-05-14
0.229941731529269,0.177575783276373,0.27823887649794,0.314243608696419,2014-05-15
0.230151376934571,0.178069179438383,0.27781700576869,0.313962437858356,2014-05-16
0.230360518496725,0.178562678590456,0.277396190397135,0.313680612515684,2014-05-17
0.230569154511328,0.179056262218586,0.276976447716132,0.313398135553954,2014-05-18
0.230777283336901,0.179549911704714,0.276557795017229,0.313115009941155,2014-05-19
0.230984903394991,0.180043608327317,0.276140249550647,0.312831238727045,2014-05-20
0.231192013170262,0.180537333261992,0.275723828525275,0.312546825042471,2014-05-21
0.231398611210577,0.181031067582073,0.275308549108672,0.312261772098678,2014-05-22
0.231604696127071,0.181524792259234,0.27489442842708,0.311976083186616,2014-05-23
0.231810266594211,0.182018488164123,0.274481483565443,0.311689761676223,2014-05-24
